전국_가구,전국_가구/가전,전국_가전제품/정보통신기기,전국_건강보조식품,전국_공과금/개인및전문서비스,전국_교육,전국_국산자동차신품,전국_금융/보험,전국_기타,전국_기타운송수단,전국_대중교통,전국_대형마트/유통전문점,전국_면세점,전국_백화점,전국_복식잡화,전국_서적/문구,전국_숙박,전국_숙박/음식,전국_슈퍼마켓,전국_스포츠/오락/여가,전국_시계/귀금속/안경,전국_식료품,전국_여행/교통,전국_여행사/자동차임대,전국_연료,전국_오락/문화,전국_음식점,전국_의료/보건,전국_의류/잡화,전국_의복/직물,전국_일반병의원/기타의료기관,전국_일반식료품,전국_자동차,전국_자동차부품및정비,전국_전자상거래/통신판매,전국_종합병원,전국_종합소매,전국_편의점,전국_합계,전국_항공사,전국_화장품
200463,1229810,1029348,67778,5477216,938880,2124698,2127185,3483608,147981,459094,2912983,44021,1440540,90032,237057,217832,4669870,1688453,1155316,156499,878412,567377,36544,2183887,1392373,4452038,3362489,1078209,648445,2688972,810634,2958212,685533,10038920,673517,6917751,831755,47304200,71739,183233
189473,1367591,1178117,59204,5044676,956707,2282026,2104931,3489589,148310,485325,2915212,48926,1531594,88156,235826,216006,4523926,1709721,1045559,153882,861371,592846,36021,2201357,1281384,4307920,3430968,1033801,612199,2736517,802167,3125446,695110,10657390,694451,7008770,803317,47680752,71499,179564
181172,1216225,1035053,61234,5391780,816608,2190712,2259455,3486424,160902,382592,2939657,35891,1201164,81684,264321,166937,3301311,1826293,615871,161258,903139,422803,31037,2305368,880192,3134373,3672804,892898,463867,2948399,841905,3120901,769287,11412235,724405,6799615,796610,46881759,9173,186089
182706,1380354,1197648,62597,5733508,940361,1894918,2118462,3419222,126349,367849,2852618,34441,1146482,73345,261448,141790,3285132,1848194,520253,167637,903692,439847,30309,2341164,781702,3143342,3680239,801810,389261,2943796,841095,2721175,699909,11077775,736443,6643834,762099,46268277,41689,171568
165761,1214392,1048632,76148,5377158,981247,1606113,2000766,3318133,133190,377770,2824052,41707,1199774,71679,237598,176232,3457867,1664307,719914,163114,990890,466865,30391,2263411,957512,3281635,3323271,800732,401448,2659956,914742,2315200,575897,10121087,663315,6434908,705068,44023439,58704,164491
195695,1381500,1185804,57187,5294950,1058505,2238059,2346841,3681217,178231,455167,2904229,51267,1482206,92341,318681,204629,4360849,1700329,1065632,196988,824819,583000,35164,2594080,1384313,4156220,3770943,1037262,557425,3005005,767633,3105394,689105,11477414,765938,6968391,830361,49869479,92668,190508
174247,1240752,1066505,60090,5504238,955207,2179851,2207996,3664011,178244,477945,2797917,57838,1366821,91542,256377,204065,4353825,1695685,1107133,191405,848401,605747,39211,2563259,1363510,4149760,3762795,1025764,556236,2993205,788312,3077432,719337,11052310,769590,6745233,826972,48970480,88591,186581
188715,1397976,1209261,68868,5461817,1064589,2029625,2208442,3743320,232167,491998,3121936,58900,1550293,98775,267925,242199,4846461,1822409,1208335,201324,949007,623721,40663,2585568,1476260,4604262,3639642,1071623,583231,2908061,880139,2962071,700280,11753268,731581,7435797,882258,51219562,91060,188293
170821,1328889,1158068,59037,5607320,1038013,2105227,2275121,3689323,200874,501444,2845178,54982,1332067,95845,247124,247700,4588915,1757707,1180369,190353,843926,660371,40433,2607119,1427493,4341215,3825910,1031048,550783,3037951,784889,3055501,749400,11332876,787959,6898086,908153,50209911,118494,194066
171000,1517272,1346272,60757,6932611,1114320,2035076,2316749,3863287,167981,467392,2968141,41115,1195312,91459,269502,251572,4433833,1856760,1075675,196858,852405,577479,40784,2801180,1345177,4182261,3941412,952645,472689,3118293,791647,3010513,807456,11921832,823118,7002567,941240,52583282,69303,191639
185255,1383383,1198128,56790,5563379,1174562,1627510,2222994,3642259,208292,443828,3102625,42612,1269703,83440,255277,293011,4412871,1931481,1018812,196371,921161,545371,39083,2728556,1274088,4119860,3741396,847157,395108,2962058,864371,2546455,710653,11762070,779338,7310362,963941,50076065,62459,172239
173412,1184915,1011503,99421,6210697,1044414,1444815,2215425,3832871,178088,464042,3108158,40624,1485330,91523,267622,217402,4275841,1910003,1102020,198186,1265704,584841,38146,2627140,1369642,4058439,3549924,1008459,530767,2831907,1166284,2322181,699278,11733727,718017,7484689,940574,50710469,82653,187984
206519,1306848,1100330,70628,5788455,1091013,1785893,2270433,3900265,161889,517628,2928618,53155,1720790,107127,265299,262937,5029421,1763608,1309177,205314,977925,697987,46775,2928012,1574476,4766483,4033402,1210118,703341,3240096,907297,2757606,809824,12498677,793306,7404979,938808,53469616,133584,194336
180317,1301222,1120905,62593,5540579,1034652,1925092,2288994,3910405,153286,561356,2988072,62887,1780818,99381,251015,273796,5132933,1762762,1233807,178661,975218,771992,46366,3007486,1484822,4859137,3879853,1139854,676926,3109484,912625,2862530,784152,12988975,770369,7507863,913325,53827378,164270,184886
172380,1152933,980552,62612,6024233,1076254,2020166,2411250,4041091,146693,522851,2923811,51568,1650980,99368,297590,273284,4715665,1775922,974801,195287,1001439,620872,39283,3004262,1272392,4442381,4095031,1082268,587632,3282261,938827,2996016,829157,13200630,812771,7299173,896891,53993508,58738,199981
174899,1283768,1108869,84934,7204997,1110997,1458802,2243569,3968446,132037,499884,3165932,48982,1604401,89593,282523,262421,4435454,1942293,851242,195055,1285590,642424,41570,2946530,1133765,4173034,4183821,977024,505617,3375385,1200656,2326235,735397,13162164,808436,7634707,873099,54539492,100970,186759
152180,1187513,1035333,47572,5478483,1019333,1618709,2130398,3597376,135860,411769,2575148,44683,1286777,73215,236228,243682,3690207,1565735,784177,168290,798669,539946,37589,2632130,1020406,3446524,3652065,793406,400477,2990490,751097,2321611,567042,11902937,661575,6265129,792786,47029608,90588,151425
160590,1237140,1076550,55824,5924848,1128420,1721385,2514571,4084527,193907,455447,2868236,49332,1493279,89067,331379,222313,4409997,1811634,1096302,189904,889680,681052,44071,3166700,1427681,4187684,4231914,979952,521472,3499267,833856,2604256,688965,13475197,732647,7178711,956231,53934645,181534,179508
156069,1200897,1044828,59687,5976065,1031190,1865454,2339679,4197811,208432,556072,2873688,63306,1627246,101090,266791,248080,5259467,1773061,1329752,201547,947790,884607,52127,3357221,1596543,5011387,4091324,1120008,637929,3316371,888102,2824788,750902,13032409,774953,7279162,941861,55138961,276408,179442
165501,1283467,1117967,65342,5992743,1137731,1901482,2351098,4247706,190186,625947,3235987,72408,1871565,117574,276917,317949,6322068,1906653,1540016,224967,1039780,994718,56602,3570512,1816934,6004120,4040995,1229110,700328,3243231,974438,2854137,762469,13455127,797764,8115289,1028676,58451416,312168,186242
